"","rank_position","urban_centre","region","pop_census_2001","pop_census_2006","pop_census_2011","pop_census_2016","location","latitude","longitude"
"1","1","Perth","Perth metropolitan region, Peel","1,162,716","1,256,035","1,627,576","1,874,578","Perth, WA",-31.9558964,115.8605801
"2","2","Bunbury","South West","45,153","54,482","64,385","71,090","Bunbury, WA",-33.3267797,115.636698
"3","3","Geraldton","Mid West","25,324","27,420","31,349","31,982","Geraldton, WA",-28.77035,114.6147159
"4","4","Kalgoorlie-Boulder","Goldfields–Esperance","28,196","28,242","30,841","29,875","Kalgoorlie-Boulder, WA",-30.784484,125.17148885
"5","5","Albany","Great Southern","22,256","25,196","26,643","29,373","Albany, WA",-35.0247822,117.883608
"6","6","Busselton","South West","13,863","15,386","21,407","25,329","Busselton, WA",-33.644499,115.3488754
"7","7","Karratha","Pilbara","10,730","11,728","16,475","15,828","Karratha, WA",-20.7370067,116.8478592
"8","8","Broome","Kimberley","15,242","11,547","12,766","13,984","Broome, WA",-17.9566909,122.2240181
"9","9","Port Hedland","Pilbara","12,695","11,557","13,772","13,828","Port Hedland, WA",-20.3111814,118.5801181
"10","10","Esperance","Goldfields–Esperance","9,365","9,536","9,919","10,421","Esperance, WA",-33.858228,121.8931606
"11","11","Yanchep","Perth metropolitan region","1,953","2,482","4,247","8,859","Yanchep, WA",-31.549942,115.6256848
"12","12","Collie","South West","6,947","7,084","6,998","7,192","Collie, WA",-33.3591223,116.1536169
"13","13","Northam","Wheatbelt","6,136","6,009","6,580","6,548","Northam, WA",-31.6535192,116.6726927
"14","14","Margaret River","South West","3,627","4,415","5,314","6,392","Margaret River, WA",-33.9531776,115.0769369
"15","15","Dunsborough","South West","1,616","3,371","4,531","6,039","Dunsborough, WA",-33.614656,115.1065921
"16","16","Newman","Pilbara","3,516","4,245","5,478","4,567","Newman, WA",-23.357394,119.7331631
"17","17","Carnarvon","Gascoyne","7,190","5,283","4,559","4,426","Carnarvon, WA",-24.8826131,113.6576486
"18","18","Kununurra","Kimberley","5,219","3,748","4,573","4,341","Kununurra, WA",-15.7730916,128.738839
"19","19","Narrogin","Wheatbelt","4,419","4,238","4,219","4,274","Narrogin, WA",-32.9341978,117.1778676
"20","20","Manjimup","South West","4,392","4,239","4,164","4,213","Manjimup, WA",-34.626374,116.282603935445
"21","21","Pinjarra","Peel","1,873","3,279","4,255","3,896","Pinjarra, WA",-32.6318966,115.869247
"22","22","Katanning","Great Southern","3,676","3,808","3,745","3,702","Katanning, WA",-33.6908682,117.5551858
"23","23","Derby","Kimberley","3,662","3,093","3,261","3,325","Derby, WA",40.9318785,-93.455871
"24","24","Tom Price","Pilbara","3,095","2,721","3,134","2,956","Tom Price, WA",-22.6892972,117.7974898
"25","25","Port Denison-Dongara","Mid West","2,202","2,343","2,764","2,782","Port Denison-Dongara, WA",-29.2511498,114.9388757
"26","26","Harvey","South West","2,547","2,606","2,667","2,750","Harvey, WA",41.31942375,-92.9223319398865
"27","27","Merredin","Wheatbelt","2,802","2,550","2,586","2,636","Merredin, WA",-31.4813329,118.2779117
"28","28","Denmark","Great Southern","2,431","2,732","2,280","2,558","Denmark, WA",-34.9604365,117.3551157
